Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Salix atrocinerea	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Ulmus glabra ""Pendula"""	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer platanoides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Betula alba	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Cedrus atlantica ""Glauca"""	needleleaved	evergreen
Magnolia grandiflora	broadleaved	evergreen
Populus simonii	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Gleditsia triacanthos	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer saccharinum	broadleaved	deciduous
"Taxus baccata ""Fastigiata"""	needleleaved	evergreen
"Taxus baccata ""Fastigiata"""	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
Malus floribunda	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Taxus baccata	needleleaved	evergreen
Acer cappadocium	broadleaved	deciduous
Malus floribunda	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer cappadocium	broadleaved	deciduous
Acer cappadocium	broadleaved	deciduous
Cupressus sempervirens	needleleaved	evergreen
Gleditsia triacanthos	broadleaved	deciduous
Abies pinsapo	needleleaved	evergreen
Cupressus sempervirens	needleleaved	evergreen
Acer cappadocium	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Gleditsia triacanthos	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
"Acer negundo ""Variegata"""	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
"Acer negundo ""Variegata"""	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Cupressocyparis leylandii	needleleaved	evergreen
Gleditsia triacanthos	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Cupressocyparis leylandii	needleleaved	evergreen
"Acer negundo ""Variegata"""	broadleaved	deciduous
